N_EXPEDIENT,DISTRICTE,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,LONGITUD, LATITUD
02-2008-1230,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,DIPUTACIO,1,197,,,,,,,AT,,2.16106626,41.38603472
02-2008-1231,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,DIPUTACIO,1,197,,,,,,,5,1,2.16106626,41.38603472
02-2008-1232,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,DIPUTACIO,1,197,,,,,,,5,2,2.16106626,41.38603472
10-2008-0685,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,PG,TAULAT,1,231,,,,,,E,4,3,2.21043171,41.40344702
06-2008-0381,GRACIA,Vallcarca i els Penitents,C,BOLIVAR,1,17,,,,,,,PR,1,2.14724882,41.40952381
10-2008-0715,SANT MARTI,el Camp de l'Arpa del Clot,C,INDUSTRIA,2,198,,,,,,,5,2,2.17689936,41.41128949
10-2008-0716,SANT MARTI,el Camp de l'Arpa del Clot,C,INDUSTRIA,2,198,,,,,,,1,1,2.17689936,41.41128949
02-2009-0160,L'EIXAMPLE,la Dreta de l'Eixample,C,ARAGO,1,373,,,,,,,2,1,2.17282715,41.39837373
06-2008-0437,GRACIA,la Vila de Gràcia,TRAV,GRACIA,1,133,,,,,,,3,2,2.15615133,41.40039537
06-2008-0438,GRACIA,la Vila de Gràcia,TRAV,GRACIA,1,133,,,,,,,4,1,2.15615133,41.40039537
06-2008-0439,GRACIA,la Vila de Gràcia,TRAV,GRACIA,1,133,,,,,,,4,2,2.15615133,41.40039537
02-2008-1238,L'EIXAMPLE,la Nova Esquerra de l'Eixample,G.V.,CORTS CATALANES,1,439,,,,,,,2,1,2.15335802,41.37854053
02-2008-1233,L'EIXAMPLE,la Dreta de l'Eixample,C,DIPUTACIO,1,307,,,,,,B,2,1,2.17016764,41.39288628
02-2008-1239,L'EIXAMPLE,la Nova Esquerra de l'Eixample,G.V.,CORTS CATALANES,1,439,,,,,,,2,2,2.15335802,41.37854053
02-2008-1241,L'EIXAMPLE,la Nova Esquerra de l'Eixample,G.V.,CORTS CATALANES,1,439,,,,,,,5,1,2.15335802,41.37854053
02-2008-0919,L'EIXAMPLE,la Dreta de l'Eixample,C,GIRONA,1,97,,,,,,,2,4,2.16919030,41.39614379
10-2009-0029,SANT MARTI,el Parc i la Llacuna del Poblenou,C,ALMOGAVERS,2,6,,,,,,,EN,4,2.18274539,41.39155347
10-2009-0069,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,C,PELLAIRES,1,25,,,,,,,BJ,A,2.21021778,41.40470091
10-2008-0691,SANT MARTI,la Vila Olímpica del Poblenou,C,MARINA,1,23,,,,,,,4,2,2.19516541,41.38814025
10-2008-0692,SANT MARTI,Provençals del Poblenou,C,FLUVIA,1,109,,111,,,,C,6,2,2.20423629,41.40860008
02-2008-1136,L'EIXAMPLE,Sant Antoni,C,VILLARROEL,2,48,,,,,,,2,1,2.16044840,41.38256174
02-2008-1137,L'EIXAMPLE,la Dreta de l'Eixample,C,CASP,1,63,,,,,,,2,1,2.17612332,41.39356811
02-2008-1138,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,DIPUTACIO,1,123,,125,,,,,3,2,2.15667953,41.38273352
02-2008-1139,L'EIXAMPLE,la Dreta de l'Eixample,RBLA,CATALUNYA,2,98,B,,,,,,2,2,2.16043006,41.39347774
