N_EXPEDIENT,DISTRICTE,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,LONGITUD, LATITUD
03-2012-0431,SANTS-MONTJUÏC,Sants,C,FERNANDEZ DURO,1,3,,,,,,,2,2,2.13549333,41.37450285
06-2012-0522,GRACIA,la Vila de Gràcia,C,CORSEGA,1,369,,,,,,,5,1,2.16234902,41.39895271
03-2012-0315,SANTS-MONTJUÏC,el Poble Sec,C,POETA CABANYES,1,81,,,,,,,PR,1,2.16452347,41.37211178
03-2012-0316,SANTS-MONTJUÏC,el Poble Sec,C,SALVA,1,65,,,,,,,2,2,2.16524884,41.37209395
03-2012-0317,SANTS-MONTJUÏC,el Poble Sec,C,PEDRERES,1,35,,,,,,,1,1,2.15942600,41.37323115
02-2012-1139,L'EIXAMPLE,Sant Antoni,C,ROCAFORT,2,12,,20,,,,E,EN,4,2.15799197,41.37589358
03-2012-0377,SANTS-MONTJUÏC,el Poble Sec,C,RADAS,1,59,,,,,,,3,1,2.16056448,41.37242970
03-2012-0278,SANTS-MONTJUÏC,el Poble Sec,C,SALVA,1,37,,,,,,,4,2,2.16572043,41.37298958
10-2012-0335,SANT MARTI,el Parc i la Llacuna del Poblenou,C,ROGER DE FLOR,2,24,,,,,,,AT,,2.18324908,41.39090141
03-2012-0271,SANTS-MONTJUÏC,el Poble Sec,AV,PARAL.LEL,1,17,,19,,,,,7,2,2.17447904,41.37449801
02-2012-1320,L'EIXAMPLE,Sant Antoni,C,VILADOMAT,1,29,,,,,,,4,,2.16138552,41.37645984
10-2012-0502,SANT MARTI,el Clot,C,ARAGO,2,550,,,,,,,1,1,2.18430751,41.40648154
02-2012-1321,L'EIXAMPLE,Sant Antoni,C,MANSO,2,4,,,,,,,2,1,2.15913960,41.37544050
02-2012-1322,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,MUNTANER,2,26,,,,,,,2,1,2.16124458,41.38537613
02-2012-1323,L'EIXAMPLE,la Dreta de l'Eixample,PG,SANT JOAN,1,57,,,,,,,PR,2B,2.17238773,41.39694270
02-2012-1330,L'EIXAMPLE,la Sagrada Família,C,ARAGO,1,481,,,,,,,4,2,2.18024363,41.40385333
02-2012-1485,L'EIXAMPLE,el Fort Pienc,C,AUSIAS MARC,1,125,,,,,,,5,2,2.18189808,41.39618838
03-2012-0234,SANTS-MONTJUÏC,Sants - Badal,C,SUGRANYES,2,62,,,,,,,2,1,2.12904478,41.37316422
06-2012-0344,GRACIA,el Camp d'en Grassot i Gràcia Nova,C,SARDENYA,1,427,,,,,,,1,2,2.16687670,41.40815247
10-2012-0494,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,PG,GARCIA FARIA,1,77,,,,,,,14,1,2.21532312,41.40496996
10-2012-0495,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,PG,GARCIA FARIA,1,77,,,,,,,10,1,2.21532312,41.40496996
06-2012-0448,GRACIA,la Vila de Gràcia,C,TORRENT DE L'OLLA,1,193,,195,,,,,5,2,2.15267093,41.40606266
05-2012-0478,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,C,COPERNIC,1,83,,,,,,,2,1,2.14352855,41.40213674
03-2012-0329,SANTS-MONTJUÏC,el Poble Sec,C,CONCORDIA,2,26,,,,,,,3,3,2.16033371,41.37369871
04-2012-0236,LES CORTS,les Corts,C,GERARD PIERA,1,5,,11,,,,,BJ,7,2.12935149,41.38261810
05-2012-0466,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,C,ARIBAU,2,296,,,,,,,1,1,2.14658305,41.39863700
03-2012-0446,SANTS-MONTJUÏC,el Poble Sec,PG,MONTJUIC,2,64,,66,,,,,1,6,2.16788862,41.37167633
02-2012-0757,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ENTENÇA,2,118,,,,,,,1,4,2.14889748,41.38105444
02-2012-0791,L'EIXAMPLE,la Dreta de l'Eixample,C,BAILEN,1,125,,,,,,,EN,1,2.16894043,41.39804172
02-2012-0793,L'EIXAMPLE,la Dreta de l'Eixample,C,BAILEN,1,125,,,,,,,EN,2,2.16894043,41.39804172
02-2012-0794,L'EIXAMPLE,la Dreta de l'Eixample,C,BAILEN,1,125,,,,,,,4,4,2.16894043,41.39804172
02-2012-0796,L'EIXAMPLE,la Dreta de l'Eixample,C,BAILEN,1,125,,,,,,,4,1,2.16894043,41.39804172
02-2012-0798,L'EIXAMPLE,la Dreta de l'Eixample,C,BAILEN,1,125,,,,,,,3,3,2.16894043,41.39804172
02-2012-1399,L'EIXAMPLE,la Dreta de l'Eixample,C,MALLORCA,2,266,,,,,,,2,1,2.16381463,41.39464448
02-2012-1400,L'EIXAMPLE,la Dreta de l'Eixample,C,MALLORCA,2,266,,,,,,,2,2,2.16381463,41.39464448
05-2012-0428,SARRIA-SANT GERVASI,les Tres Torres,C,ALT DE GIRONELLA,2,40,,,,,,,1,4,2.13236707,41.39623051
02-2012-1523,L'EIXAMPLE,la Sagrada Família,C,DOS DE MAIG,1,225,,,,,,,1,2,2.18258391,41.40650404
02-2012-1131,L'EIXAMPLE,la Dreta de l'Eixample,C,VALENCIA,2,290,,,,,,,4,4,2.16503904,41.39385559
02-2012-1132,L'EIXAMPLE,la Dreta de l'Eixample,C,VALENCIA,2,290,,,,,,,4,2,2.16503904,41.39385559
02-2012-1133,L'EIXAMPLE,la Dreta de l'Eixample,C,VALENCIA,2,290,,,,,,,4,1,2.16503904,41.39385559
02-2012-1134,L'EIXAMPLE,la Dreta de l'Eixample,C,VALENCIA,2,290,,,,,,,2,4,2.16503904,41.39385559
02-2012-1135,L'EIXAMPLE,la Dreta de l'Eixample,C,VALENCIA,2,290,,,,,,,4,3,2.16503904,41.39385559
02-2012-1250,L'EIXAMPLE,la Dreta de l'Eixample,G.V.,CORTS CATALANES,1,593,,,,,,A,3,2,2.16595967,41.38801569
10-2012-0461,SANT MARTI,el Poblenou,C,SANT FRANCESC,2,8,,,,,,,BJ,2,2.20549427,41.39872297
07-2012-0227,HORTA-GUINARDÓ,el Baix Guinardó,C,NIÇA,1,9,,11,,,,,1,1,2.16928951,41.41403167
10-2012-0510,SANT MARTI,el Poblenou,C,LOPE DE VEGA,2,10,,,,,,,5,1,2.20747848,41.40164592
02-2012-1342,L'EIXAMPLE,la Sagrada Família,C,CORSEGA,1,535,,,,,,,3,3,2.17128083,41.40566713
02-2012-1348,L'EIXAMPLE,la Sagrada Família,C,ROSSELLO,2,408,,,,,,,2,2,2.17376306,41.40553699
02-2012-1350,L'EIXAMPLE,la Sagrada Família,C,PADILLA,1,241,,,,,,,4,1,2.17808239,41.40487093
10-2012-0513,SANT MARTI,el Camp de l'Arpa del Clot,C,NACIO,2,18,,,,,,,4,,2.18584862,41.41278171
02-2012-0948,L'EIXAMPLE,la Dreta de l'Eixample,C,ROSSELLO,2,272,,,,,,,EN,1,2.16479934,41.39880317
02-2012-0949,L'EIXAMPLE,la Dreta de l'Eixample,C,MALLORCA,1,319,,,,,,,EN,1,2.16766446,41.39782307
01-2012-0446,CIUTAT VELLA,Sant Pere - Santa Caterina i la Ribera,C,VOLTA D'EN COLOMINES,1,3,,,,,,,1,,2.17914264,41.38457019
01-2012-0468,CIUTAT VELLA,el Barri Gòtic,C,FLOR,1,5,,,,,,,2,2,2.17276560,41.38515293
01-2012-0469,CIUTAT VELLA,Sant Pere - Santa Caterina i la Ribera,C,CONSOLAT DE MAR,1,15,,,,,,,1,2,2.18189822,41.38214751
06-2012-0466,GRACIA,la Vila de Gràcia,C,VALLFOGONA,1,29,,,,,,,BJ,2,2.15814394,41.40366439
02-2012-1441,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,ARIBAU,1,47,,,,,,,AT,1,2.15980055,41.38790330
03-2012-0395,SANTS-MONTJUÏC,el Poble Sec,C,VILA I VILA,1,77,,,,,,,EN,2,2.16856480,41.37417245
03-2012-0396,SANTS-MONTJUÏC,el Poble Sec,C,VILA I VILA,1,77,,,,,,,EN,1,2.16856480,41.37417245
03-2012-0397,SANTS-MONTJUÏC,el Poble Sec,C,VILA I VILA,1,77,,,,,,,3,2,2.16856480,41.37417245
03-2012-0398,SANTS-MONTJUÏC,el Poble Sec,C,VILA I VILA,1,77,,,,,,,2,2,2.16856480,41.37417245
03-2012-0399,SANTS-MONTJUÏC,el Poble Sec,C,VILA I VILA,1,77,,,,,,,3,1,2.16856480,41.37417245
03-2012-0400,SANTS-MONTJUÏC,el Poble Sec,C,VILA I VILA,1,77,,,,,,,1,1,2.16856480,41.37417245
01-2012-0560,CIUTAT VELLA,el Raval,C,VALLDONZELLA,1,7,,,,,,,EN,3,2.16645419,41.38462923
09-2012-0236,SANT ANDREU,Sant Andreu,PG,SANTA COLOMA,1,37,,,,,,,8,3,2.19137765,41.44574210
02-2012-0934,L'EIXAMPLE,la Sagrada Família,AV,DIAGONAL,2,318,,,,,,,6,1,2.17576372,41.40084965
02-2012-0935,L'EIXAMPLE,la Sagrada Família,AV,DIAGONAL,2,318,,,,,,,1,1,2.17576372,41.40084965
02-2012-0936,L'EIXAMPLE,la Sagrada Família,AV,DIAGONAL,2,318,,,,,,,4,1,2.17576372,41.40084965
02-2012-0937,L'EIXAMPLE,la Sagrada Família,AV,DIAGONAL,2,318,,,,,,,5,1,2.17576372,41.40084965
02-2012-0938,L'EIXAMPLE,la Sagrada Família,AV,DIAGONAL,2,318,,,,,,,3,1,2.17576372,41.40084965
02-2012-0939,L'EIXAMPLE,la Sagrada Família,AV,DIAGONAL,2,318,,,,,,,2,1,2.17576372,41.40084965
02-2012-0750,L'EIXAMPLE,la Dreta de l'Eixample,C,BALMES,2,8,,,,,,,PR,1,2.16696235,41.38619984
03-2012-0229,SANTS-MONTJUÏC,el Poble Sec,PTGE,PRUNERA,2,14,,,,,,,BJ,,2.15628043,41.37422689
05-2012-0307,SARRIA-SANT GERVASI,Sant Gervasi - la Bonanova,C,CIUTAT DE BALAGUER,2,30,,,,,,,3,1,2.13553670,41.40329118
06-2012-0314,GRACIA,la Vila de Gràcia,C,RAMON Y CAJAL,1,69,,71,,,,,BJ,,2.16098859,41.40412378
02-2012-1389,L'EIXAMPLE,la Dreta de l'Eixample,PTGE,PERMANYER,1,7,,,,,,,,,2.16851320,41.39230889
02-2012-1538,L'EIXAMPLE,Sant Antoni,C,MANSO,2,58,,,,,,,4,2,2.16181883,41.37746569
02-2012-1540,L'EIXAMPLE,Sant Antoni,C,MANSO,2,58,,,,,,,4,3,2.16181883,41.37746569
02-2012-1542,L'EIXAMPLE,Sant Antoni,C,MANSO,2,58,,,,,,,5,1,2.16181883,41.37746569
02-2012-1543,L'EIXAMPLE,Sant Antoni,C,MANSO,2,58,,,,,,,5,2,2.16181883,41.37746569
02-2012-1544,L'EIXAMPLE,Sant Antoni,C,MANSO,2,58,,,,,,,5,3,2.16181883,41.37746569
02-2012-1020,L'EIXAMPLE,Sant Antoni,G.V.,CORTS CATALANES,2,578,,,,,,,3,2,2.16240794,41.38469428
02-2012-1334,L'EIXAMPLE,el Fort Pienc,C,CASP,2,106,,,,,,,3,1,2.17756708,41.39437437
03-2012-0373,SANTS-MONTJUÏC,Sants,C,VALLADOLID,1,21,,,,,,,BJ,,2.13628035,41.37781574
03-2012-0374,SANTS-MONTJUÏC,Sants,C,VALLADOLID,1,21,,,,,,,1,,2.13628035,41.37781574
01-2012-0391,CIUTAT VELLA,el Raval,C,PEU DE LA CREU,1,19,,,,,,,EN,1,2.16696485,41.38109998
10-2012-0337,SANT MARTI,el Camp de l'Arpa del Clot,C,CORSEGA,1,703,,,,,,,EN,2,2.18056663,41.41267590
10-2012-0341,SANT MARTI,el Camp de l'Arpa del Clot,C,CORSEGA,1,703,,,,,,,PR,1,2.18056663,41.41267590
10-2012-0343,SANT MARTI,el Camp de l'Arpa del Clot,C,CORSEGA,1,703,,,,,,,1,4,2.18056663,41.41267590
10-2012-0345,SANT MARTI,el Camp de l'Arpa del Clot,C,CORSEGA,1,703,,,,,,,2,2,2.18056663,41.41267590
02-2012-1073,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ENTENÇA,2,140,,,,,,,PR,2,2.14768210,41.38197146
02-2012-1612,L'EIXAMPLE,la Dreta de l'Eixample,C,ROSSELLO,2,202,,,,,,,PR,2,2.15771386,41.39343953
10-2012-0529,SANT MARTI,el Parc i la Llacuna del Poblenou,C,SARDENYA,2,104,,106,,,,,2,3,2.18721782,41.39302665
10-2012-0530,SANT MARTI,el Parc i la Llacuna del Poblenou,C,SARDENYA,2,104,,106,,,,,2,2,2.18721782,41.39302665
05-2012-0430,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,C,SANTALO,2,138,,,,,,,3,2,2.14019109,41.40027461
04-2012-0251,LES CORTS,les Corts,C,LORETO,2,32,,,,,,,2,1,2.14230710,41.39025039
02-2012-1415,L'EIXAMPLE,la Dreta de l'Eixample,PG,GRACIA,2,52,,,,,,,3,,2.16553876,41.39207085
02-2012-1417,L'EIXAMPLE,la Sagrada Família,C,DOS DE MAIG,1,265,,,,,,,BJ,1,2.18016064,41.40834060
06-2012-0464,GRACIA,el Camp d'en Grassot i Gràcia Nova,C,ROGER DE FLOR,2,254,,,,,,,3,1,2.16827020,41.40227472
05-2012-0432,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,C,MUNTANER,1,425,,,,,,,PR,1,2.14067239,41.40062646
03-2012-0389,SANTS-MONTJUÏC,la Bordeta,RBLA,BADAL,2,20,,22,,,,B,AT,3,2.13479687,41.36647328
06-2012-0350,GRACIA,el Camp d'en Grassot i Gràcia Nova,C,INDUSTRIA,2,42,,,,,,,4,2,2.16734653,41.40410463
02-2012-0957,L'EIXAMPLE,el Fort Pienc,C,AUSIAS MARC,1,59,,,,,,,7,,2.17829761,41.39349362
02-2012-1317,L'EIXAMPLE,la Sagrada Família,C,INDUSTRIA,1,183,,,,,,,1,2,2.17592334,41.41082358
02-2012-1136,L'EIXAMPLE,la Dreta de l'Eixample,C,VALENCIA,2,290,,,,,,,2,3,2.16503904,41.39385559
02-2012-1224,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,ARIBAU,1,39,,,,,,,3,1B,2.16009996,41.38767492
07-2012-0199,HORTA-GUINARDÓ,el Guinardó,C,TELEGRAF,1,19,,21,,,,,1,1,2.17499147,41.41655810
07-2012-0200,HORTA-GUINARDÓ,el Guinardó,C,TELEGRAF,1,19,,21,,,,,1,2,2.17499147,41.41655810
07-2012-0201,HORTA-GUINARDÓ,el Guinardó,C,TELEGRAF,1,19,,21,,,,,1,3,2.17499147,41.41655810
07-2012-0202,HORTA-GUINARDÓ,el Guinardó,C,TELEGRAF,1,19,,21,,,,,1,4,2.17499147,41.41655810
07-2012-0203,HORTA-GUINARDÓ,el Guinardó,C,TELEGRAF,1,19,,21,,,,,2,1,2.17499147,41.41655810
07-2012-0204,HORTA-GUINARDÓ,el Guinardó,C,TELEGRAF,1,19,,21,,,,,2,2,2.17499147,41.41655810
06-2012-0383,GRACIA,el Camp d'en Grassot i Gràcia Nova,C,CORSEGA,2,446,,,,,,I,3,2,2.16720779,41.40231993
03-2012-0269,SANTS-MONTJUÏC,el Poble Sec,C,MURILLO,2,6,,,,,,,1,2,2.16226260,41.37303970
02-2012-1044,L'EIXAMPLE,la Dreta de l'Eixample,AV,DIAGONAL,2,434,,,,,,A,4,1,2.16168622,41.39730469
06-2012-0384,GRACIA,el Camp d'en Grassot i Gràcia Nova,C,INDUSTRIA,2,12,,,,,,,2,1,2.16494932,41.40226413
02-2012-1057,L'EIXAMPLE,la Dreta de l'Eixample,PG,GRACIA,2,44,,,,,,,5,I,2.16597792,41.39172116
02-2012-1058,L'EIXAMPLE,la Dreta de l'Eixample,RBLA,CATALUNYA,2,42,,,,,,,3,1,2.16496340,41.39016883
02-2012-1041,L'EIXAMPLE,la Dreta de l'Eixample,RBLA,CATALUNYA,1,5,,,,,,,2,2,2.16786351,41.38764894
02-2012-1197,L'EIXAMPLE,la Sagrada Família,C,ROSSELLO,2,446,,,,,,,EN,2,2.17605790,41.40726002
02-2012-1292,L'EIXAMPLE,Sant Antoni,C,FLORIDABLANCA,1,79,,,,,,,1,2,2.15915392,41.37911918
03-2012-0381,SANTS-MONTJUÏC,el Poble Sec,C,GRASES,2,8,,,,,,,2,1,2.15661586,41.37319014
02-2012-1354,L'EIXAMPLE,el Fort Pienc,PG,SANT JOAN,2,6,,,,,,,PR,2,2.17994982,41.39189899
02-2012-1459,L'EIXAMPLE,la Dreta de l'Eixample,AV,DIAGONAL,1,377,,,,,,,5,2,2.16107902,41.39668820
02-2012-1460,L'EIXAMPLE,la Dreta de l'Eixample,AV,DIAGONAL,1,377,,,,,,,PR,,2.16107902,41.39668820
02-2012-1461,L'EIXAMPLE,la Dreta de l'Eixample,AV,DIAGONAL,1,377,,,,,,,6,1,2.16107902,41.39668820
01-2012-0519,CIUTAT VELLA,el Barri Gòtic,C,AVINYO,2,58,,,,,,,3,1B,2.17928937,41.38018913
02-2012-0940,L'EIXAMPLE,Sant Antoni,C,MUNTANER,1,7,,,,,,,2,2A,2.16291014,41.38384194
06-2012-0355,GRACIA,la Vila de Gràcia,PL,VILA DE GRACIA,1,19,,,,,,,3,1,2.15748039,41.39996823
10-2012-0318,SANT MARTI,el Poblenou,AV,DIAGONAL,1,141,,,,,,,1,4,2.19848078,41.40595144
02-2012-1040,L'EIXAMPLE,la Dreta de l'Eixample,C,PAU CLARIS,2,178,,,,,,,4,2,2.16331803,41.39574466
02-2012-1234,L'EIXAMPLE,la Dreta de l'Eixample,C,PAU CLARIS,2,178,,,,,,,2,1B,2.16331803,41.39574466
02-2012-1369,L'EIXAMPLE,Sant Antoni,C,COMTE BORRELL,2,98,,,,,,,1,2,2.15844349,41.38065986
10-2012-0519,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,C,SELVA DE MAR,2,6,,,,,,,1,1,2.21432763,41.40529129
10-2012-0520,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,PG,GARCIA FARIA,1,75,,,,,,A,12,4,2.21532312,41.40496996
05-2012-0479,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,RDA,GENERAL MITRE,2,164,,,,,,,5,3,2.14075073,41.40425884
05-2012-0309,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,C,PRATS DE MOLLO,2,18,,,,,,,BJ,1,2.13816497,41.40130413
05-2012-0310,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,C,PRATS DE MOLLO,2,18,,,,,,,BJ,2,2.13816497,41.40130413
05-2012-0311,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,C,PRATS DE MOLLO,2,18,,,,,,,1,1,2.13816497,41.40130413
05-2012-0312,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,C,PRATS DE MOLLO,2,18,,,,,,,1,2,2.13816497,41.40130413
05-2012-0313,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,C,PRATS DE MOLLO,2,18,,,,,,,1,3,2.13816497,41.40130413
05-2012-0314,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,C,PRATS DE MOLLO,2,18,,,,,,,2,1,2.13816497,41.40130413
05-2012-0315,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,C,PRATS DE MOLLO,2,18,,,,,,,2,2,2.13816497,41.40130413
05-2012-0316,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,C,PRATS DE MOLLO,2,18,,,,,,,2,3,2.13816497,41.40130413
02-2012-0861,L'EIXAMPLE,la Sagrada Família,C,SARDENYA,2,288,,,,,,,2,2,2.17586955,41.40161600
10-2012-0445,SANT MARTI,la Vila Olímpica del Poblenou,C,HELSINKI,1,19,,,,,,,BJ,,2.19588406,41.39187200
10-2012-0456,SANT MARTI,la Vila Olímpica del Poblenou,C,HELSINKI,1,3,,,,,,,BJ,,2.19588406,41.39187200
10-2012-0457,SANT MARTI,la Vila Olímpica del Poblenou,C,ANVERS,1,7,,,,,,,,,2.19598079,41.39206349
02-2012-0770,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ENTENÇA,2,132,,,,,,,3,1,2.14799992,41.38172964
02-2012-0771,L'EIXAMPLE,la Sagrada Família,C,MARINA,2,234,,,,,,,5,2,2.17737423,41.40239418
02-2012-0773,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ROCAFORT,1,251,,,,,,,AT,4,2.14446548,41.38582943
02-2012-0778,L'EIXAMPLE,la Dreta de l'Eixample,C,ROGER DE LLURIA,2,40,,,,,,,2,4,2.17048376,41.39203561
02-2012-1371,L'EIXAMPLE,la Sagrada Família,C,INDUSTRIA,1,105,,,,,,,SA,1,2.17072302,41.40691902
02-2012-1372,L'EIXAMPLE,la Sagrada Família,C,INDUSTRIA,1,105,,,,,,,5,3,2.17072302,41.40691902
06-2012-0453,GRACIA,el Camp d'en Grassot i Gràcia Nova,C,SECRETARI COLOMA,1,57,,,,,,,3,1,2.16331959,41.40903011
06-2012-0454,GRACIA,el Camp d'en Grassot i Gràcia Nova,C,SECRETARI COLOMA,1,57,,,,,,,3,2,2.16331959,41.40903011
06-2012-0455,GRACIA,el Camp d'en Grassot i Gràcia Nova,C,SECRETARI COLOMA,1,57,,,,,,,3,4,2.16331959,41.40903011
06-2012-0456,GRACIA,el Camp d'en Grassot i Gràcia Nova,C,SECRETARI COLOMA,1,57,,,,,,,4,2,2.16331959,41.40903011
06-2012-0457,GRACIA,el Camp d'en Grassot i Gràcia Nova,C,SECRETARI COLOMA,1,57,,,,,,,4,3,2.16331959,41.40903011
06-2012-0458,GRACIA,el Camp d'en Grassot i Gràcia Nova,C,SECRETARI COLOMA,1,57,,,,,,,4,4,2.16331959,41.40903011
03-2012-0401,SANTS-MONTJUÏC,la Font de la Guatlla,C,MEXIC,2,16,,18,,,,,2,2A,2.14803374,41.37298984
10-2012-0565,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,PG,GARCIA FARIA,1,77,,,,,,,1,1,2.21532312,41.40496996
06-2012-0418,GRACIA,la Vila de Gràcia,AV,PRINCEP D'ASTURIES,2,2,,,,,,,4,1,2.15133567,41.40134530
01-2012-0486,CIUTAT VELLA,el Barri Gòtic,PL,REIAL,2,8,,,,,,,3,3,2.17527550,41.38046949
02-2012-1584,L'EIXAMPLE,la Dreta de l'Eixample,C,ARAGO,2,312,,,,,,,6,2,2.16858737,41.39473960
07-2012-0205,HORTA-GUINARDÓ,el Guinardó,C,TELEGRAF,1,19,,21,,,,,2,3,2.17499147,41.41655810
07-2012-0206,HORTA-GUINARDÓ,el Guinardó,C,TELEGRAF,1,19,,21,,,,,2,4,2.17499147,41.41655810
07-2012-0207,HORTA-GUINARDÓ,el Guinardó,C,TELEGRAF,1,19,,21,,,,,3,1,2.17499147,41.41655810
07-2012-0208,HORTA-GUINARDÓ,el Guinardó,C,TELEGRAF,1,19,,21,,,,,3,2,2.17499147,41.41655810
07-2012-0209,HORTA-GUINARDÓ,el Guinardó,C,TELEGRAF,1,19,,21,,,,,3,3,2.17499147,41.41655810
10-2012-0474,SANT MARTI,Provençals del Poblenou,G.V.,CORTS CATALANES,2,984,,,,,,,10,2,2.19776048,41.41072476
01-2012-0516,CIUTAT VELLA,el Raval,C,NOU DE LA RAMBLA,1,31,,,,,,,4,2,2.17313006,41.37791817
02-2012-0976,L'EIXAMPLE,la Sagrada Família,C,INDUSTRIA,2,158,,,,,,,AT,1,2.17487231,41.40975692
02-2012-0977,L'EIXAMPLE,la Sagrada Família,C,CARTAGENA,1,247,,,,,,,AT,3,2.17818459,41.40810795
02-2012-1166,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,CONSELL DE CENT,1,207,,,,,,,3,3,2.15691490,41.38461925
02-2012-1167,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,CONSELL DE CENT,1,207,,,,,,,1,5,2.15691490,41.38461925
02-2012-1168,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,CONSELL DE CENT,1,207,,,,,,,3,2,2.15691490,41.38461925
02-2012-1169,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,CONSELL DE CENT,1,207,,,,,,,3,1,2.15691490,41.38461925
02-2012-1170,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,CONSELL DE CENT,1,207,,,,,,,2,5,2.15691490,41.38461925
02-2012-1171,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,CONSELL DE CENT,1,207,,,,,,,2,4,2.15691490,41.38461925
02-2012-0898,L'EIXAMPLE,la Dreta de l'Eixample,PG,GRACIA,1,89,,,,,,,5,2,2.16111639,41.39480827
02-2012-1448,L'EIXAMPLE,Sant Antoni,C,SEPULVEDA,1,169,,,,,,,2,1,2.16230990,41.38319697
02-2012-1524,L'EIXAMPLE,la Dreta de l'Eixample,C,ARAGO,2,312,,,,,,,1,1,2.16858737,41.39473960
02-2012-1218,L'EIXAMPLE,la Dreta de l'Eixample,RDA,UNIVERSITAT,2,6,,,,,,,EN,2,2.16606573,41.38629326
03-2012-0340,SANTS-MONTJUÏC,Hostafrancs,C,TORRE D'EN DAMIANS,2,14,B,,,,,,BJ,,2.14404193,41.37620781
02-2012-1271,L'EIXAMPLE,Sant Antoni,G.V.,CORTS CATALANES,2,474,,,,,,,5,2,2.15577130,41.37969822
06-2012-0519,GRACIA,el Camp d'en Grassot i Gràcia Nova,C,SANT ANTONI MARIA CLARET,1,3,,,,,,,1,3,2.16323041,41.40295289
10-2012-0594,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,PG,GARCIA FARIA,1,83,,,,,,,3,2,2.21700445,41.40621632
03-2012-0259,SANTS-MONTJUÏC,el Poble Sec,C,BLESA,1,47,,,,,,,2,C,2.16678844,41.37274109
01-2012-0450,CIUTAT VELLA,el Raval,C,TIGRE,2,4,,,,,,,2,1,2.16496291,41.38288091
10-2012-0379,SANT MARTI,el Parc i la Llacuna del Poblenou,C,SARDENYA,2,80,,,,,,,6,4,2.18840152,41.39213686
05-2012-0335,SARRIA-SANT GERVASI,Sant Gervasi - la Bonanova,C,MUNTANER,1,511,,,,,,,1,1,2.13692013,41.40354763
02-2012-1046,L'EIXAMPLE,la Sagrada Família,C,SARDENYA,2,302,,,,,,,PR,2,2.17500477,41.40226972
02-2012-1047,L'EIXAMPLE,la Sagrada Família,C,SARDENYA,2,302,,,,,,,1,2,2.17500477,41.40226972
02-2012-1048,L'EIXAMPLE,la Sagrada Família,C,SARDENYA,2,302,,,,,,,PR,1,2.17500477,41.40226972
02-2012-1050,L'EIXAMPLE,la Sagrada Família,C,MARINA,2,240,,,,,,,BJ,,2.17715284,41.40256275
10-2012-0441,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,PG,TAULAT,2,196,,200,,,,9,4,2,2.21211158,41.40394760
10-2012-0442,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,C,SELVA DE MAR,2,12,,,,,,,1,2,2.21432763,41.40529129
10-2012-0465,SANT MARTI,la Vila Olímpica del Poblenou,C,SALVADOR ESPRIU,1,33,,,,,,,4,2,2.19725177,41.38935154
02-2012-1311,L'EIXAMPLE,la Sagrada Família,C,LEPANT,1,279,,,,,,,4,2,2.17582666,41.40494780
02-2012-1159,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,CONSELL DE CENT,1,207,,,,,,,1,3,2.15691490,41.38461925
06-2012-0531,GRACIA,el Camp d'en Grassot i Gràcia Nova,C,SANT ANTONI MARIA CLARET,1,3,,,,,,,2,1,2.16323041,41.40295289
02-2012-0954,L'EIXAMPLE,la Sagrada Família,C,ROSSELLO,2,444,,,,,,,2,1,2.17598009,41.40720309
